image_path,true_label,pred_label,confidence,correct,top5
data/SkinDisease/SkinDisease/test/Actinic_Keratosis/images117.jpeg,Actinic_Keratosis,Bullous,0.9999806880950928,False,"Bullous,Actinic_Keratosis,DrugEruption,Lichen,Vasculitis"
data/SkinDisease/SkinDisease/test/Benign_tumors/epidermal-nevus-23.jpeg,Benign_tumors,Tinea,0.9999343156814576,False,"Tinea,Vitiligo,Lichen,Benign_tumors,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Benign_tumors/cylindroma-7.jpeg,Benign_tumors,Vascular_Tumors,0.999897837638855,False,"Vascular_Tumors,Benign_tumors,Moles,SkinCancer,Vasculitis"
data/SkinDisease/SkinDisease/test/Sun_Sunlight_Damage/sun-damaged-skin-129.jpeg,Sun_Sunlight_Damage,Actinic_Keratosis,0.9998260140419006,False,"Actinic_Keratosis,Vascular_Tumors,Rosacea,Sun_Sunlight_Damage,DrugEruption"
data/SkinDisease/SkinDisease/test/Rosacea/3634__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDBd.jpeg,Rosacea,Acne,0.9998201727867126,False,"Acne,Rosacea,Tinea,Lupus,Eczema"
data/SkinDisease/SkinDisease/test/Lichen/Lichen-Planus-Drug-16.jpeg,Lichen,DrugEruption,0.999685525894165,False,"DrugEruption,Sun_Sunlight_Damage,Infestations_Bites,Lichen,Tinea"
data/SkinDisease/SkinDisease/test/Eczema/eczema-subacute-2.jpeg,Eczema,Psoriasis,0.9996505975723268,False,"Psoriasis,Eczema,Tinea,Candidiasis,Benign_tumors"
data/SkinDisease/SkinDisease/test/Tinea/tinea-groin-75.jpeg,Tinea,Candidiasis,0.9995225667953492,False,"Candidiasis,Tinea,Psoriasis,Bullous,Warts"
data/SkinDisease/SkinDisease/test/Eczema/eczema-nummular-107.jpeg,Eczema,Vasculitis,0.9987078905105592,False,"Vasculitis,Eczema,Bullous,Sun_Sunlight_Damage,Tinea"
data/SkinDisease/SkinDisease/test/Vasculitis/pyoderma-gangrenosum-23.jpeg,Vasculitis,Vascular_Tumors,0.9985830783843994,False,"Vascular_Tumors,Vasculitis,Benign_tumors,Warts,DrugEruption"
data/SkinDisease/SkinDisease/test/Vitiligo/the-initial-stage-of-vitiligo-skin-disease.jpeg,Vitiligo,Unknown_Normal,0.9982815980911256,False,"Unknown_Normal,Vitiligo,Vasculitis,DrugEruption,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Tinea/tinea-foot-dorsum-27.jpeg,Tinea,Eczema,0.9980607628822328,False,"Eczema,Tinea,Psoriasis,Sun_Sunlight_Damage,Lichen"
data/SkinDisease/SkinDisease/test/Moles/melanocytic-nevi-98.jpeg,Moles,Vascular_Tumors,0.9978156089782716,False,"Vascular_Tumors,Moles,SkinCancer,Warts,Benign_tumors"
data/SkinDisease/SkinDisease/test/Lichen/Lichen-Sclerosus-Penis-4.jpeg,Lichen,Candidiasis,0.997648537158966,False,"Candidiasis,Lichen,Psoriasis,Infestations_Bites,Warts"
data/SkinDisease/SkinDisease/test/Unknown_Normal/28.jpeg,Unknown_Normal,Vitiligo,0.9976332187652588,False,"Vitiligo,Unknown_Normal,Benign_tumors,Bullous,DrugEruption"
data/SkinDisease/SkinDisease/test/Vasculitis/Atypical-Pyoderma-Gangrenosum-1.jpeg,Vasculitis,Vascular_Tumors,0.9975626468658448,False,"Vascular_Tumors,DrugEruption,Vasculitis,Benign_tumors,Warts"
data/SkinDisease/SkinDisease/test/DrugEruption/drug-eruptions-1.jpeg,DrugEruption,Seborrh_Keratoses,0.9975470900535583,False,"Seborrh_Keratoses,Eczema,Benign_tumors,SkinCancer,Bullous"
data/SkinDisease/SkinDisease/test/DrugEruption/fixed-drug-eruption-2.jpeg,DrugEruption,Vasculitis,0.9973491430282592,False,"Vasculitis,Infestations_Bites,Lichen,Psoriasis,Eczema"
data/SkinDisease/SkinDisease/test/Moles/melanocytic-nevi-48.jpeg,Moles,Benign_tumors,0.9972544312477112,False,"Benign_tumors,Warts,Moles,Seborrh_Keratoses,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Actinic_Keratosis/images287.jpeg,Actinic_Keratosis,Bullous,0.9967753291130066,False,"Bullous,DrugEruption,Actinic_Keratosis,Lichen,Vascular_Tumors"
